method,method_key,dataset,accuracy,raw_accuracy,mean_compute,profile_batch_size,profile_sample_latency_ms,profile_batch_latency_ms,profile_throughput_samples_per_s,profile_peak_gpu_memory_mb,profile_peak_gpu_memory_delta_mb,profile_mean_compute
QACR b0.45,qacr_b045,textvqa,0.2646666666666667,0.25639999999999996,0.4481513639450073,2,294.2802744607131,588.5605489214262,3.3981210661589953,2027.42431640625,335.1923828125,0.4498640100161235
TokenPruning@0.45,token_pruning,textvqa,0.07139999999999998,0.07159999999999998,0.44999999999999474,2,264.1503874522944,528.3007749045888,3.7857222533152637,2023.50927734375,334.830078125,0.45
ImageOnly@0.45,image_only,textvqa,0.059533333333333396,0.059733333333333395,0.40709128389358523,2,547.5534740835428,1095.1069481670856,1.8263056437980434,2024.07568359375,334.830078125,0.3625214695930481
LowRes-9x9,low_res,textvqa,0.07293333333333334,0.07313333333333334,0.41326530612244594,2,267.63920330752927,535.2784066150585,3.736373399867566,1752.888671875,97.25244140625,0.413265306122449
Original,original,textvqa,0.6688666666666669,0.693066666666667,1.0,2,425.3776832483709,850.7553664967418,2.3508520530827113,2003.90087890625,330.12939453125,1.0
